metric,value
AUC,0.9753081968134312
AUPRC,0.960624406054472
F1,0.8944778567523237
Precision,0.895163055373167
Recall,0.8937937062937062
MCC,0.8327185271847293
Brier,0.05678374384743262
ECE,0.02246477085962658
Baseline_AUC,0.49589435647589697
AUC_CI_low,0.9730156097537188
AUC_CI_high,0.9774229860335547
