feature,mean_abs_shap
gnomAD_AF,4.647577435976662
vep_IMPACT_score,0.43743075643777146
CAGE_camera_type_eye_hCAGE_UBERON_0000019,0.2895607152891868
SPLICE_SITE_USAGE_ascending_aorta_usage_UBERON_0001496_total_RNA_seq,0.2780174759166728
vep_is_synonymous,0.26463549953793175
vep_Consequence_synonymous_variant,0.2525210578035677
SPLICE_SITE_USAGE_Purkinje_cell_usage_CL_0000121_polyA_plus_RNA_seq,0.22494558360859537
vep_LoF,0.22120674615809316
CONTACT_MAPS_H1_hESC_4dn_4DNFI82R42AD,0.20130323915255882
SPLICE_JUNCTIONS_testis_junction_UBERON_0000473_polyA_plus_RNA_seq,0.16957501815254242
vep_Consequence_intron_variant,0.15084874968089382
CHIP_TF_gastroesophageal_sphincter_UBERON_0004550_TF_ChIP_seq_POLR2AphosphoS5,0.14428982110618335
DNASE_mesenteric_fat_pad_UBERON_0015143_DNase_seq,0.1428194440480568
CAGE_tricuspid_valve_hCAGE_UBERON_0002134,0.14145222176129135
CHIP_HISTONE_K562_EFO_0002067_Histone_ChIP_seq_H3K79me2,0.12048995889538917
DNASE_epidermal_melanocyte_CL_2000000_DNase_seq,0.11950776973860966
SPLICE_SITE_USAGE_dorsolateral_prefrontal_cortex_usage_UBERON_0009834_total_RNA_seq,0.11718563237787721
DNASE_urothelium_cell_line_EFO_0005913_DNase_seq,0.11383804655518154
SPLICE_JUNCTIONS_PFSK_1_junction_EFO_0005234_polyA_plus_RNA_seq,0.10947139398966463
CAGE_fungiform_papilla_hCAGE_UBERON_0002448,0.1091764034973386
CHIP_TF_HepG2_EFO_0001187_TF_ChIP_seq_ZC3H13_genetically_modified_insertion_using_CRISPR_targeting_H_sapiens_ZC3H13,0.10680161025129362
SPLICE_SITE_USAGE_muscle_of_arm_usage_UBERON_0001499_polyA_plus_RNA_seq,0.10624595850255143
SPLICE_SITE_USAGE_BE2C_usage_EFO_0005725_polyA_plus_RNA_seq,0.09889166265859199
CHIP_HISTONE_HepG2_EFO_0001187_Histone_ChIP_seq_H4K20me1,0.0972744976276387
DNASE_chondrocyte_CL_0000138_DNase_seq,0.09600993325918686
SPLICE_SITE_USAGE_parietal_lobe_usage_UBERON_0001872_total_RNA_seq,0.09549026311066519
CAGE_parotid_gland_hCAGE_UBERON_0001831,0.09343626501534087
vep_PolyPhen_score,0.09244964958512453
CHIP_HISTONE_SK_N_SH_EFO_0003072_Histone_ChIP_seq_H4K20me1,0.09124561563435128
SPLICE_JUNCTIONS_BE2C_junction_EFO_0005725_polyA_plus_RNA_seq,0.09113453834499599
CHIP_TF_HepG2_EFO_0001187_TF_ChIP_seq_POLR2AphosphoS5,0.09079464423828112
CHIP_HISTONE_neutrophil_CL_0000775_Histone_ChIP_seq_H3K36me3,0.09052154808446436
CHIP_HISTONE_cardiac_muscle_cell_CL_0000746_Histone_ChIP_seq_H3K36me3,0.08943016434654383
SPLICE_JUNCTIONS_dorsolateral_prefrontal_cortex_junction_UBERON_0009834_total_RNA_seq,0.08698902856631792
SPLICE_SITES_nan_acceptor,0.0868523702514966
PROCAP_MCF_10A_ENCSR860TYZ,0.08600770870080039
CAGE_pancreas_hCAGE_UBERON_0001264,0.0849559459684737
CAGE_vertebral_mesenchymal_stem_cell_hCAGE_CL_0002572,0.08422135992072319
CHIP_TF_HepG2_EFO_0001187_TF_ChIP_seq_ZNF384,0.08401471259911289
CONTACT_MAPS_H9_4dn_4DNFIRO3DQCO,0.08301834612637068
CONTACT_MAPS_HCT116_4dn_4DNFILP99QJS,0.0823106219361368
CHIP_HISTONE_neuron_CL_0000540_Histone_ChIP_seq_H3K36me3,0.08098882039760513
CHIP_HISTONE_PC_9_EFO_0002847_Histone_ChIP_seq_H3K9me2,0.0807202462001321
SPLICE_SITE_USAGE_testis_usage_UBERON_0000473_total_RNA_seq,0.08038669250273654
CHIP_HISTONE_prostate_gland_UBERON_0002367_Histone_ChIP_seq_H3K36me3,0.08023964353757619
SPLICE_SITE_USAGE_urinary_bladder_usage_UBERON_0001255_total_RNA_seq,0.07893783020132525
CHIP_TF_K562_EFO_0002067_TF_ChIP_seq_BRF2,0.07884884888667043
