metric,value
AUC,0.963972041292681
AUPRC,0.9463023524372506
F1,0.8805384183959618
Precision,0.9045863102097258
Recall,0.857736013986014
MCC,0.8141432324527458
Brier,0.0662862067511494
ECE,0.018306390496992127
Baseline_AUC,0.4980678476824751
AUC_CI_low,0.9611593701752593
AUC_CI_high,0.9668258194406244
