feature,importance
CHIP_TF_SK_N_SH_EFO_0003072_TF_ChIP_seq_FOXJ3_genetically_modified_insertion_using_CRISPR_targeting_H_sapiens_FOXJ3,237
CHIP_TF_HEK293_EFO_0001182_TF_ChIP_seq_HOXB7_genetically_modified_insertion_using_CRISPR_targeting_H_sapiens_HOXB7,236
PROCAP_Calu3_ENCSR797DEF,235
CHIP_HISTONE_muscle_of_leg_UBERON_0001383_Histone_ChIP_seq_H3K9me3,235
CHIP_TF_A549_EFO_0001086_TF_ChIP_seq_REST,234
CONTACT_MAPS_H1_hESC_4dn_4DNFI6HDY7WZ,233
SPLICE_JUNCTIONS_HeLa_S3_junction_EFO_0002791_polyA_plus_RNA_seq,231
SPLICE_JUNCTIONS_testis_junction_UBERON_0000473_polyA_plus_RNA_seq,228
CONTACT_MAPS_H1_hESC_4dn_4DNFI82R42AD,227
CONTACT_MAPS_H9_4dn_4DNFIRO3DQCO,223
DNASE_urothelium_cell_line_EFO_0005913_DNase_seq,219
CONTACT_MAPS_CyT49_4dn_4DNFIK3NF6R2,212
SPLICE_JUNCTIONS_BE2C_junction_EFO_0005725_polyA_plus_RNA_seq,210
CONTACT_MAPS_CyT49_4dn_4DNFI2VYSX9M,204
SPLICE_SITE_USAGE_dorsolateral_prefrontal_cortex_usage_UBERON_0009834_total_RNA_seq,199
SPLICE_JUNCTIONS_kidney_junction_UBERON_0002113_polyA_plus_RNA_seq,192
vep_SIFT_score,189
SPLICE_JUNCTIONS_ascending_aorta_junction_UBERON_0001496_total_RNA_seq,173
SPLICE_JUNCTIONS_Purkinje_cell_junction_CL_0000121_polyA_plus_RNA_seq,168
SPLICE_JUNCTIONS_motor_neuron_junction_CL_0000100_total_RNA_seq,166
CONTACT_MAPS_H9_4dn_4DNFIT5YVTLO,165
SPLICE_JUNCTIONS_PFSK_1_junction_EFO_0005234_polyA_plus_RNA_seq,162
SPLICE_JUNCTIONS_testis_junction_UBERON_0000473_total_RNA_seq,154
SPLICE_SITE_USAGE_testis_usage_UBERON_0000473_total_RNA_seq,152
