threshold,net_benefit,treat_all,treat_none,prevalence,n,n_pos,benchmark,model,n_scored
0.01,0.36617201485994383,0.3631103118386122,0.0,0.3694792087202261,12385.0,4576.0,internal_test,AGVarPred,12385
0.02,0.3634877608693861,0.3566114374696185,0.0,0.3694792087202261,12385.0,4576.0,internal_test,AGVarPred,12385
0.03,0.3611510432057402,0.34997856569095476,0.0,0.3694792087202261,12385.0,4576.0,internal_test,AGVarPred,12385
0.04,0.35803391199031087,0.34320750908356884,0.0,0.3694792087202261,12385.0,4576.0,internal_test,AGVarPred,12385
0.05,0.35126532520238823,0.3362939039160275,0.0,0.3694792087202261,12385.0,4576.0,internal_test,AGVarPred,12385
0.060000000000000005,0.348589147819514,0.329233200766198,0.0,0.3694792087202261,12385.0,4576.0,internal_test,AGVarPred,12385
0.06999999999999999,0.3468278050538069,0.32202065453787754,0.0,0.3694792087202261,12385.0,4576.0,internal_test,AGVarPred,12385
0.08,0.34502817222797566,0.3146513138263327,0.0,0.3694792087202261,12385.0,4576.0,internal_test,AGVarPred,12385
0.09,0.34083502286974227,0.30712000958266605,0.0,0.3694792087202261,12385.0,4576.0,internal_test,AGVarPred,12385
0.09999999999999999,0.33905710312654197,0.2994213430224735,0.0,0.3694792087202261,12385.0,4576.0,internal_test,AGVarPred,12385
0.11,0.3375349847813366,0.29154967271935517,0.0,0.3694792087202261,12385.0,4576.0,internal_test,AGVarPred,12385
0.12,0.3359782728373766,0.28349910081843877,0.0,0.3694792087202261,12385.0,4576.0,internal_test,AGVarPred,12385
0.13,0.3341286966528847,0.2752634582991105,0.0,0.3694792087202261,12385.0,4576.0,internal_test,AGVarPred,12385
0.14,0.332750607918431,0.26683628920956526,0.0,0.3694792087202261,12385.0,4576.0,internal_test,AGVarPred,12385
0.15000000000000002,0.3312593507326225,0.2582108337885013,0.0,0.3694792087202261,12385.0,4576.0,internal_test,AGVarPred,12385
0.16,0.3298152527058462,0.24938001038122154,0.0,0.3694792087202261,12385.0,4576.0,internal_test,AGVarPred,12385
0.17,0.3283635956826904,0.24033639604846518,0.0,0.3694792087202261,12385.0,4576.0,internal_test,AGVarPred,12385
0.18000000000000002,0.327227074450801,0.23107220575637327,0.0,0.3694792087202261,12385.0,4576.0,internal_test,AGVarPred,12385
0.19,0.32614722110079397,0.22157927002497052,0.0,0.3694792087202261,12385.0,4576.0,internal_test,AGVarPred,12385
0.2,0.3250100928542592,0.21184901090028263,0.0,0.3694792087202261,12385.0,4576.0,internal_test,AGVarPred,12385
0.21000000000000002,0.3238053382255996,0.20187241610155202,0.0,0.3694792087202261,12385.0,4576.0,internal_test,AGVarPred,12385
0.22,0.32256969245261535,0.19164001117977705,0.0,0.3694792087202261,12385.0,4576.0,internal_test,AGVarPred,12385
0.23,0.32130195198422895,0.18114182950678714,0.0,0.3694792087202261,12385.0,4576.0,internal_test,AGVarPred,12385
0.24000000000000002,0.3200008499245692,0.17036737989503434,0.0,0.3694792087202261,12385.0,4576.0,internal_test,AGVarPred,12385
0.25,0.3186650518099852,0.15930561162696816,0.0,0.3694792087202261,12385.0,4576.0,internal_test,AGVarPred,12385
0.26,0.31732152014751935,0.14794487664895417,0.0,0.3694792087202261,12385.0,4576.0,internal_test,AGVarPred,12385
0.27,0.315913527742906,0.13627288865784395,0.0,0.3694792087202261,12385.0,4576.0,internal_test,AGVarPred,12385
0.28,0.3151437671017808,0.12427667877809176,0.0,0.3694792087202261,12385.0,4576.0,internal_test,AGVarPred,12385
0.29000000000000004,0.3137143409508321,0.11194254749327615,0.0,0.3694792087202261,12385.0,4576.0,internal_test,AGVarPred,12385
0.3,0.3122440740527135,0.09925601245746585,0.0,0.3694792087202261,12385.0,4576.0,internal_test,AGVarPred,12385
0.31,0.312761463434613,0.08620175176844358,0.0,0.3694792087202261,12385.0,4576.0,internal_test,AGVarPred,12385
0.32,0.31169108741599183,0.07276354223562659,0.0,0.3694792087202261,12385.0,4576.0,internal_test,AGVarPred,12385
0.33,0.31058875987442686,0.05892419211974037,0.0,0.3694792087202261,12385.0,4576.0,internal_test,AGVarPred,12385
0.34,0.30949462326127647,0.0446654677579183,0.0,0.3694792087202261,12385.0,4576.0,internal_test,AGVarPred,12385
0.35000000000000003,0.30832582839042266,0.02996801341573241,0.0,0.3694792087202261,12385.0,4576.0,internal_test,AGVarPred,12385
0.36000000000000004,0.30721134436818737,0.014811263625353233,0.0,0.3694792087202261,12385.0,4576.0,internal_test,AGVarPred,12385
0.37,0.30597176564072004,-0.0008266528250379657,0.0,0.3694792087202261,12385.0,4576.0,internal_test,AGVarPred,12385
0.38,0.3058903199760376,-0.016969018193183694,0.0,0.3694792087202261,12385.0,4576.0,internal_test,AGVarPred,12385
0.39,0.3047737546079671,-0.03364064144225232,0.0,0.3694792087202261,12385.0,4576.0,internal_test,AGVarPred,12385
0.4,0.30367379895034313,-0.0508679854662899,0.0,0.3694792087202261,12385.0,4576.0,internal_test,AGVarPred,12385
0.41000000000000003,0.30248318427841225,-0.06867930725385407,0.0,0.3694792087202261,12385.0,4576.0,internal_test,AGVarPred,12385
0.42000000000000004,0.3022315648796514,-0.0871048125513344,0.0,0.3694792087202261,12385.0,4576.0,internal_test,AGVarPred,12385
0.43,0.3010616974410188,-0.10617682680662083,0.0,0.3694792087202261,12385.0,4576.0,internal_test,AGVarPred,12385
0.44,0.29985004902243495,-0.12592998442816766,0.0,0.3694792087202261,12385.0,4576.0,internal_test,AGVarPred,12385
0.45,0.2985943406613572,-0.14640143869049793,0.0,0.3694792087202261,12385.0,4576.0,internal_test,AGVarPred,12385
0.46,0.2972921245832025,-0.16763109496254425,0.0,0.3694792087202261,12385.0,4576.0,internal_test,AGVarPred,12385
